record_id,industry_sector,age_group,experience_level,shift_type,weekly_hours,ppe_compliance,education_level,season,employment_type,safety_training_hrs,site_hazard_score,equipment_age_yrs,prev_incidents_3yr,near_misses_3yr,team_size,overtime_days_month,accident_probability,accident_occurred
W-00001,Manufacturing,26-35,1-3yr,Day,29,Full,Vocational,Spring,Permanent,14,1.9,3,0,0,17,2,0.3615,0
W-00002,Chemical,18-25,15+yr,Day,45,Full,Vocational,Summer,Permanent,17,5.3,6,1,2,3,2,0.5759,1
W-00003,Agriculture,26-35,3-7yr,Evening,42,None,Secondary,Summer,Agency,0,3.2,2,1,1,7,2,0.97,1
W-00004,Mining,26-35,7-15yr,Evening,42,Full,Degree,Autumn,Permanent,16,5.2,20,0,2,18,3,0.6422,0
W-00005,Construction,26-35,1-3yr,Day,49,Partial,Degree,Winter,Permanent,7,6.3,24,0,0,21,3,0.868,0
W-00006,Construction,18-25,1-3yr,Rotating,34,Full,Primary,Winter,Permanent,11,5.9,1,3,6,14,3,0.97,1
W-00007,Construction,36-45,<1yr,Rotating,35,Partial,Vocational,Summer,Contractor,9,3.8,7,0,1,8,3,0.8969,1
W-00008,Transportation,36-45,1-3yr,Night,54,Full,Secondary,Spring,Contractor,11,4.8,12,0,1,5,6,0.6186,1
W-00009,Agriculture,36-45,3-7yr,Day,47,Full,Primary,Winter,Temporary,7,5.1,0,1,1,23,2,0.487,1
W-00010,Agriculture,46-55,15+yr,Day,40,None,Primary,Spring,Permanent,0,2.8,28,2,3,10,2,0.8132,1
W-00011,Construction,26-35,3-7yr,Night,60,Full,Vocational,Winter,Permanent,7,2.6,9,0,0,9,7,0.7141,0
W-00012,Chemical,36-45,3-7yr,Evening,54,Full,Secondary,Spring,Permanent,18,5.2,7,0,0,13,5,0.4851,0
W-00013,Transportation,46-55,3-7yr,Evening,48,Full,Vocational,Winter,Permanent,22,3.3,6,1,2,9,0,0.3395,0
W-00014,Construction,26-35,<1yr,Day,34,None,Vocational,Spring,Permanent,9,4.1,6,1,1,15,2,0.97,1
W-00015,Construction,36-45,3-7yr,Evening,56,Full,Vocational,Spring,Permanent,6,7.4,1,1,2,17,5,0.7136,0
W-00016,Construction,26-35,<1yr,Rotating,33,Partial,Degree,Autumn,Agency,9,5.1,7,2,4,13,2,0.97,1
